Lexeme          LineNo TokenName              ValueIfNumber Parent                 isLeaf   Node                  
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 expPrime              	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 expPrime              	 no  	 expPrime              	 
;              	 24 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 iterativeStmt         	 no  	 otherStmts            	 
b5b567         	 25 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 25 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
b5b567         	 25 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 25 	 TK_PLUS               	 ----      	 lowPrecedenceOp       	 yes 	 TK_PLUS               	 
----           	 0  	 lowPrecedenceOp       	 ----      	 expPrime              	 no  	 lowPrecedenceOp       	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
1              	 25 	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 expPrime              	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 expPrime              	 no  	 expPrime              	 
;              	 25 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
endwhile       	 26 	 TK_ENDWHILE           	 ----      	 iterativeStmt         	 yes 	 TK_ENDWHILE           	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
return         	 27 	 TK_RETURN             	 ----      	 returnStmt            	 yes 	 TK_RETURN             	 
----           	 0  	 returnStmt            	 ----      	 stmts                 	 no  	 returnStmt            	 
[              	 27 	 TK_SQL                	 ----      	 optionalReturn        	 yes 	 TK_SQL                	 
----           	 0  	 optionalReturn        	 ----      	 returnStmt            	 no  	 optionalReturn        	 
d3             	 27 	 TK_ID                 	 ----      	 idList                	 yes 	 TK_ID                 	 
----           	 0  	 idList                	 ----      	 optionalReturn        	 no  	 idList                	 
eps            	 0  	 eps                   	 ----      	 more_ids              	 yes 	 eps                   	 
----           	 0  	 more_ids              	 ----      	 idList                	 no  	 more_ids              	 
]              	 27 	 TK_SQR                	 ----      	 optionalReturn        	 yes 	 TK_SQR                	 
;              	 27 	 TK_SEM                	 ----      	 returnStmt            	 yes 	 TK_SEM                	 
end            	 28 	 TK_END                	 ----      	 function              	 yes 	 TK_END                	 
----           	 0  	 otherFunctions        	 ----      	 otherFunctions        	 no  	 otherFunctions        	 
_sumNAb        	 30 	 TK_FUNID              	 ----      	 function              	 yes 	 TK_FUNID              	 
----           	 0  	 function              	 ----      	 otherFunctions        	 no  	 function              	 
input          	 30 	 TK_INPUT              	 ----      	 input_par             	 yes 	 TK_INPUT              	 
----           	 0  	 input_par             	 ----      	 function              	 no  	 input_par             	 
parameter      	 30 	 TK_PARAMETER          	 ----      	 input_par             	 yes 	 TK_PARAMETER          	 
list           	 30 	 TK_LIST               	 ----      	 input_par             	 yes 	 TK_LIST               	 
[              	 30 	 TK_SQL                	 ----      	 input_par             	 yes 	 TK_SQL                	 
int            	 30 	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 input_par             	 no  	 parameter_list        	 
d5cc34         	 30 	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 30 	 TK_SQR                	 ----      	 input_par             	 yes 	 TK_SQR                	 
